t_ms,encoder_count,position_rad,ADC_Index,ADC_Thumb,Voltage_Index,Voltage_Thumb,X_gauss,Y_gauss,Z_gauss,test
5389,2945,12.385529270176628,22,58,0.017728937728937726,0.04673992673992673,-2.712,0.288,-8.0,1
5407,2945,12.385529270176628,16,48,0.012893772893772894,0.038681318681318674,-2.688,0.296,-8.0,1
5426,2945,12.385529270176628,20,59,0.01611721611721612,0.047545787545787546,-2.672,0.296,-8.0,1
5444,2945,12.385529270176628,16,62,0.012893772893772894,0.04996336996336996,-2.656,0.296,-8.0,1
5463,2945,12.385529270176628,16,65,0.012893772893772894,0.05238095238095238,-2.648,0.296,-8.0,1
5481,2945,12.385529270176628,16,52,0.012893772893772894,0.0419047619047619,-2.656,0.296,-8.0,1
5500,2945,12.385529270176628,22,58,0.017728937728937726,0.04673992673992673,-2.688,0.296,-8.0,1
5518,2945,12.385529270176628,32,63,0.025787545787545788,0.05076923076923076,-2.72,0.288,-8.0,1
5537,2945,12.385529270176628,35,63,0.028205128205128206,0.05076923076923076,-2.736,0.28,-8.0,1
5555,2945,12.385529270176628,27,66,0.021758241758241755,0.05318681318681318,-2.744,0.28,-8.0,1
5574,2945,12.385529270176628,18,54,0.014505494505494505,0.04351648351648351,-2.736,0.28,-8.0,1
5592,2945,12.385529270176628,20,61,0.01611721611721612,0.049157509157509154,-2.752,0.28,-8.0,1
5611,2945,12.385529270176628,33,62,0.02659340659340659,0.04996336996336996,-2.76,0.28,-8.0,1
5629,2945,12.385529270176628,30,51,0.024175824175824177,0.041098901098901096,-2.76,0.272,-8.0,1
5648,2945,12.385529270176628,27,61,0.021758241758241755,0.049157509157509154,-2.752,0.272,-8.0,1
5666,2945,12.385529270176628,26,64,0.02095238095238095,0.051575091575091575,-2.744,0.272,-8.0,1
5685,2945,12.385529270176628,21,63,0.016923076923076923,0.05076923076923076,-2.744,0.272,-8.0,1
5703,2945,12.385529270176628,21,64,0.016923076923076923,0.051575091575091575,-2.752,0.272,-8.0,1
5722,2945,12.385529270176628,20,57,0.01611721611721612,0.04593406593406593,-2.744,0.272,-8.0,1
5740,2945,12.385529270176628,20,65,0.01611721611721612,0.05238095238095238,-2.744,0.272,-8.0,1
5759,2945,12.385529270176628,17,65,0.013699633699633697,0.05238095238095238,-2.728,0.28,-8.0,1
5777,2945,12.385529270176628,21,71,0.016923076923076923,0.05721611721611721,-2.712,0.28,-8.0,1
5796,2945,12.385529270176628,18,65,0.014505494505494505,0.05238095238095238,-2.704,0.28,-8.0,1
5814,2945,12.385529270176628,16,63,0.012893772893772894,0.05076923076923076,-2.688,0.28,-8.0,1
5833,2945,12.385529270176628,16,64,0.012893772893772894,0.051575091575091575,-2.688,0.28,-8.0,1
5851,2945,12.385529270176628,10,64,0.00805860805860806,0.051575091575091575,-2.688,0.28,-8.0,1
5870,2945,12.385529270176628,13,68,0.010476190476190476,0.05479853479853479,-2.68,0.28,-8.0,1
5888,2945,12.385529270176628,15,69,0.012087912087912088,0.055604395604395604,-2.664,0.28,-8.0,1
5907,2945,12.385529270176628,23,65,0.018534798534798533,0.05238095238095238,-2.648,0.288,-8.0,1
5925,2945,12.385529270176628,16,68,0.012893772893772894,0.05479853479853479,-2.632,0.288,-8.0,1
5944,2945,12.385529270176628,16,66,0.012893772893772894,0.05318681318681318,-2.632,0.288,-8.0,1
5962,2945,12.385529270176628,16,65,0.012893772893772894,0.05238095238095238,-2.624,0.288,-8.0,1
5981,2945,12.385529270176628,20,70,0.01611721611721612,0.05641025641025641,-2.616,0.288,-8.0,1
6000,2945,12.385529270176628,16,75,0.012893772893772894,0.06043956043956044,-2.6,0.296,-8.0,1
6018,2945,12.385529270176628,17,71,0.013699633699633697,0.05721611721611721,-2.592,0.296,-8.0,1
6037,2945,12.385529270176628,19,70,0.01531135531135531,0.05641025641025641,-2.576,0.296,-8.0,1
6055,2945,12.385529270176628,19,61,0.01531135531135531,0.049157509157509154,-2.568,0.296,-8.0,1
6074,2945,12.385529270176628,16,68,0.012893772893772894,0.05479853479853479,-2.552,0.296,-8.0,1
6092,2945,12.385529270176628,27,64,0.021758241758241755,0.051575091575091575,-2.544,0.296,-8.0,1
6111,2945,12.385529270176628,17,67,0.013699633699633697,0.05399267399267399,-2.544,0.296,-8.0,1
6129,2945,12.385529270176628,22,62,0.017728937728937726,0.04996336996336996,-2.536,0.296,-8.0,1
